Wed Jun 09 19:00:57 2021

21.06.02-03_007.top image. S05

Comment: Graphite ni

Us modulation: OFF; Frq(Hz): 1333; Amp(mV): 2.00;
Us base(mV): 50; It setpoint(nA): 0.5;
Us Start(mV): -500; End(mV): 498; Step(mV): 5.98;
Us sweep rate(mV/s): 50.0; sweep delay(ms): 10;
Ccomp modulation: OFF; Amp(mV): 0.0; Phase(deg): 0.0
Lock-in input params
      Sensitivity(mV): ; Phase(deg): ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
      HPF - freq(Hz):      0; slope(dB/oct): 0;
Lock-in output params
      Time constant(ms): 0; Gain: ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
dIt scale coeff(nA/V): 

Number of STS scans: 5
Position(A) relatively to left-bottom corner: (8.3,9.9)

   Usamp    It01F    It02F    It03F    It04F    It05F    It01B    It02B    It03B    It04B    It05B    dI01F    dI02F    dI03F    dI04F    dI05F    dI01B    dI02B    dI03B    dI04B    dI05B   

  -500.0    -3.029   -2.255   -2.569   -3.393   -5.055   -0.044   -0.078   -0.082   -0.147   -0.173   45.751   45.743   45.744   45.737   45.742   45.749   45.749   45.748   45.741   45.751  
  -494.0    -3.027   -2.187   -2.289   -3.756   -4.921   -0.044   -0.088   -0.072   -0.140   -0.178   45.754   45.742   45.747   45.738   45.740   45.752   45.748   45.747   45.743   45.755  
  -488.0    -2.534   -2.153   -2.134   -3.894   -4.892   -0.043   -0.075   -0.069   -0.139   -0.178   45.751   45.739   45.744   45.737   45.739   45.750   45.749   45.748   45.743   45.751  
  -482.1    -2.563   -2.230   -2.106   -3.781   -4.983   -0.044   -0.079   -0.073   -0.140   -0.179   45.749   45.743   45.746   45.740   45.741   45.751   45.749   45.748   45.743   45.753  
  -476.1    -2.824   -2.030   -1.971   -3.960   -4.753   -0.039   -0.072   -0.071   -0.142   -0.207   45.750   45.743   45.746   45.739   45.741   45.752   45.750   45.749   45.743   45.754  
  -470.1    -2.751   -1.989   -1.973   -3.722   -4.608   -0.033   -0.070   -0.063   -0.143   -0.195   45.751   45.742   45.744   45.740   45.740   45.755   45.750   45.749   45.742   45.752  
  -464.1    -2.567   -1.884   -2.122   -3.699   -4.344   -0.037   -0.071   -0.063   -0.130   -0.164   45.750   45.742   45.742   45.737   45.740   45.752   45.749   45.749   45.743   45.751  
  -458.1    -2.616   -1.854   -1.994   -3.564   -4.092   -0.037   -0.069   -0.061   -0.122   -0.165   45.749   45.743   45.742   45.739   45.743   45.753   45.749   45.749   45.744   45.754  
  -452.2    -2.564   -1.812   -1.876   -3.605   -4.089   -0.038   -0.065   -0.062   -0.129   -0.153   45.747   45.745   45.746   45.743   45.743   45.754   45.750   45.750   45.744   45.754  
  -446.2    -2.269   -1.627   -1.730   -3.433   -4.206   -0.039   -0.066   -0.057   -0.127   -0.171   45.745   45.744   45.746   45.743   45.741   45.754   45.748   45.749   45.743   45.754  
  -440.2    -2.280   -1.494   -1.730   -3.244   -4.017   -0.036   -0.064   -0.059   -0.133   -0.170   45.749   45.745   45.747   45.745   45.742   45.754   45.748   45.751   45.745   45.755  
  -434.2    -2.100   -1.496   -1.730   -3.008   -4.048   -0.037   -0.066   -0.064   -0.129   -0.171   45.752   45.749   45.748   45.746   45.742   45.755   45.746   45.750   45.744   45.755  
  -428.2    -1.957   -1.372   -1.541   -2.690   -4.110   -0.040   -0.062   -0.062   -0.118   -0.151   45.752   45.744   45.745   45.743   45.741   45.751   45.747   45.750   45.744   45.749  
  -422.3    -1.819   -1.462   -1.469   -2.568   -4.323   -0.040   -0.065   -0.064   -0.116   -0.149   45.748   45.746   45.746   45.740   45.738   45.751   45.745   45.748   45.743   45.747  
  -416.3    -1.686   -1.285   -1.507   -2.586   -4.576   -0.038   -0.063   -0.062   -0.112   -0.142   45.752   45.744   45.748   45.741   45.740   45.755   45.744   45.746   45.745   45.749  
  -410.3    -1.758   -1.346   -1.497   -2.522   -4.169   -0.038   -0.060   -0.059   -0.113   -0.140   45.752   45.747   45.749   45.741   45.742   45.755   45.745   45.752   45.745   45.751  
  -404.3    -1.689   -1.308   -1.530   -2.398   -3.695   -0.038   -0.057   -0.059   -0.115   -0.142   45.752   45.743   45.744   45.740   45.741   45.753   45.746   45.750   45.743   45.747  
  -398.3    -1.677   -1.152   -1.379   -2.334   -3.703   -0.038   -0.056   -0.057   -0.115   -0.144   45.755   45.744   45.746   45.741   45.743   45.754   45.748   45.751   45.744   45.750  
  -392.4    -1.401   -1.072   -1.333   -2.355   -3.825   -0.037   -0.058   -0.055   -0.118   -0.148   45.757   45.745   45.746   45.743   45.742   45.756   45.751   45.752   45.747   45.752  
  -386.4    -1.363   -0.992   -1.260   -2.573   -3.518   -0.037   -0.056   -0.055   -0.118   -0.149   45.755   45.748   45.744   45.741   45.744   45.754   45.751   45.751   45.748   45.751  
  -380.4    -1.446   -1.044   -1.189   -2.994   -3.454   -0.034   -0.058   -0.055   -0.110   -0.135   45.754   45.747   45.744   45.742   45.744   45.754   45.749   45.749   45.744   45.750  
  -374.4    -1.408   -0.978   -1.177   -2.599   -3.154   -0.032   -0.058   -0.054   -0.113   -0.136   45.754   45.746   45.747   45.741   45.747   45.754   45.749   45.753   45.744   45.752  
  -368.4    -1.192   -1.006   -1.113   -2.341   -3.109   -0.031   -0.055   -0.054   -0.107   -0.134   45.752   45.747   45.744   45.740   45.748   45.753   45.752   45.756   45.746   45.754  
  -362.5    -1.019   -0.921   -1.048   -2.245   -3.156   -0.031   -0.054   -0.051   -0.109   -0.136   45.754   45.747   45.745   45.743   45.746   45.756   45.752   45.756   45.746   45.747  
  -356.5    -0.897   -0.870   -1.030   -2.055   -3.163   -0.030   -0.050   -0.049   -0.112   -0.132   45.755   45.751   45.749   45.743   45.747   45.753   45.753   45.757   45.744   45.748  
  -350.5    -0.892   -0.771   -1.015   -2.204   -3.186   -0.031   -0.049   -0.051   -0.109   -0.132   45.756   45.751   45.747   45.742   45.747   45.751   45.753   45.757   45.745   45.751  
  -344.5    -0.870   -0.731   -0.964   -2.153   -2.987   -0.032   -0.049   -0.047   -0.112   -0.128   45.756   45.751   45.748   45.744   45.747   45.749   45.750   45.755   45.746   45.751  
  -338.5    -0.793   -0.713   -0.901   -1.811   -2.523   -0.033   -0.047   -0.048   -0.107   -0.125   45.752   45.746   45.744   45.738   45.742   45.746   45.743   45.752   45.742   45.749  
