Wed Jun 09 19:27:35 2021

21.06.02-03_008.top image. S02

Comment: Graphite ni

Us modulation: OFF; Frq(Hz): 1333; Amp(mV): 2.00;
Us base(mV): -50; It setpoint(nA): 0.5;
Us Start(mV): -500; End(mV): 498; Step(mV): 5.98;
Us sweep rate(mV/s): 70.0; sweep delay(ms): 10;
Ccomp modulation: OFF; Amp(mV): 0.0; Phase(deg): 0.0
Lock-in input params
      Sensitivity(mV): ; Phase(deg): ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
      HPF - freq(Hz):      0; slope(dB/oct): 0;
Lock-in output params
      Time constant(ms): 0; Gain: ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
dIt scale coeff(nA/V): 

Number of STS scans: 5
Position(A) relatively to left-bottom corner: (14.8,6.5)

   Usamp    It01F    It02F    It03F    It04F    It05F    It01B    It02B    It03B    It04B    It05B    dI01F    dI02F    dI03F    dI04F    dI05F    dI01B    dI02B    dI03B    dI04B    dI05B   

  -500.0   -10.700  -10.700  -10.701  -10.700  -10.700   -2.693   -5.469   -2.259   -1.653   -4.455   45.753   45.751   45.746   45.746   45.745   45.753   45.757   45.753   45.755   45.760  
  -494.0   -10.701  -10.701  -10.701  -10.701  -10.701   -2.635   -5.584   -2.105   -1.642   -4.363   45.756   45.750   45.742   45.744   45.743   45.755   45.757   45.755   45.756   45.759  
  -488.0   -10.701  -10.701  -10.701  -10.701  -10.701   -2.487   -5.001   -1.955   -1.606   -4.267   45.756   45.746   45.743   45.741   45.743   45.756   45.751   45.754   45.755   45.757  
  -482.1   -10.701  -10.701  -10.701  -10.701  -10.701   -2.573   -5.021   -2.028   -1.549   -4.217   45.756   45.745   45.747   45.743   45.746   45.758   45.752   45.754   45.759   45.761  
  -476.1   -10.701  -10.701  -10.701  -10.699  -10.701   -2.506   -4.973   -2.196   -1.536   -4.099   45.758   45.747   45.748   45.746   45.749   45.760   45.753   45.758   45.757   45.761  
  -470.1   -10.701  -10.701  -10.701  -10.700  -10.701   -2.175   -4.923   -2.112   -1.437   -3.938   45.756   45.746   45.747   45.743   45.746   45.759   45.749   45.756   45.757   45.760  
  -464.1   -10.701  -10.701  -10.701  -10.699  -10.701   -2.429   -5.095   -2.117   -1.447   -3.835   45.753   45.747   45.750   45.747   45.746   45.761   45.750   45.757   45.758   45.758  
  -458.1   -10.701  -10.701  -10.701  -10.700  -10.701   -2.379   -4.968   -1.986   -1.368   -3.837   45.758   45.748   45.749   45.750   45.748   45.760   45.752   45.759   45.758   45.763  
  -452.2   -10.701  -10.701  -10.701  -10.701  -10.701   -2.296   -4.662   -1.998   -1.314   -3.833   45.758   45.750   45.750   45.751   45.750   45.759   45.753   45.759   45.758   45.760  
  -446.2   -10.701  -10.701  -10.700  -10.701  -10.701   -2.294   -4.411   -1.876   -1.304   -3.835   45.753   45.750   45.748   45.748   45.749   45.759   45.752   45.758   45.757   45.760  
