Wed Jun 09 19:32:00 2021

21.06.02-03_008.top image. S03

Comment: Graphite ni

Us modulation: OFF; Frq(Hz): 1333; Amp(mV): 2.00;
Us base(mV): -50; It setpoint(nA): 0.5;
Us Start(mV): -500; End(mV): 498; Step(mV): 5.98;
Us sweep rate(mV/s): 70.0; sweep delay(ms): 10;
Ccomp modulation: OFF; Amp(mV): 0.0; Phase(deg): 0.0
Lock-in input params
      Sensitivity(mV): ; Phase(deg): ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
      HPF - freq(Hz):      0; slope(dB/oct): 0;
Lock-in output params
      Time constant(ms): 0; Gain: ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
dIt scale coeff(nA/V): 

Number of STS scans: 1
Position(A) relatively to left-bottom corner: (6.8,9.0)

   Usamp    It01F    It01B    dI01F    dI01B   

  -500.0   -10.700   -3.053   45.754   45.757  
  -494.0   -10.700   -2.751   45.754   45.758  
  -488.0   -10.700   -3.019   45.753   45.759  
  -482.1   -10.698   -2.847   45.756   45.759  
  -476.1   -10.700   -2.949   45.757   45.759  
  -470.1   -10.700   -2.703   45.755   45.755  
  -464.1   -10.697   -2.387   45.753   45.757  
  -458.1   -10.444   -2.367   45.758   45.756  
  -452.2   -10.176   -2.344   45.758   45.760  
  -446.2    -9.889   -2.198   45.753   45.759  
  -440.2    -9.600   -2.121   45.755   45.761  
  -434.2    -9.243   -2.174   45.756   45.763  
  -428.2    -8.533   -2.005   45.754   45.757  
  -422.3    -8.516   -1.807   45.755   45.757  
  -416.3    -8.100   -1.988   45.757   45.757  
  -410.3    -7.916   -1.881   45.759   45.760  
  -404.3    -7.238   -1.728   45.758   45.757  
  -398.3    -7.215   -1.698   45.760   45.764  
  -392.4    -6.870   -1.728   45.761   45.762  
  -386.4    -6.793   -1.803   45.759   45.759  
  -380.4    -6.705   -1.665   45.759   45.761  
  -374.4    -6.317   -1.483   45.759   45.761  
  -368.4    -6.063   -1.395   45.761   45.760  
  -362.5    -6.260   -1.447   45.767   45.761  
  -356.5    -5.061   -1.347   45.761   45.760  
  -350.5    -4.654   -1.219   45.759   45.759  
  -344.5    -5.129   -1.232   45.760   45.756  
  -338.5    -5.446   -1.234   45.757   45.754  
  -332.6    -5.189   -1.180   45.754   45.753  
  -326.6    -4.840   -1.199   45.753   45.757  
  -320.6    -4.381   -1.105   45.757   45.756  
  -314.6    -4.267   -1.090   45.760   45.755  
  -308.6    -3.987   -1.007   45.760   45.758  
  -302.7    -3.849   -0.943   45.758   45.759  
  -296.7    -3.735   -0.870   45.755   45.755  
  -290.7    -3.573   -0.914   45.757   45.757  
  -284.7    -3.346   -0.926   45.761   45.757  
  -278.7    -3.214   -0.887   45.761   45.752  
  -272.8    -3.041   -0.887   45.760   45.755  
  -266.8    -2.832   -0.887   45.764   45.756  
  -260.8    -2.741   -0.879   45.767   45.758  
  -254.8    -2.734   -0.871   45.757   45.754  
  -248.8    -2.739   -0.834   45.759   45.759  
  -242.9    -2.633   -0.844   45.759   45.755  
  -236.9    -2.518   -0.794   45.760   45.754  
  -230.9    -2.364   -0.706   45.758   45.757  
  -224.9    -2.123   -0.707   45.759   45.760  
  -218.9    -2.088   -0.681   45.762   45.760  
  -213.0    -1.944   -0.677   45.761   45.758  
  -207.0    -1.873   -0.656   45.760   45.759  
  -201.0    -1.796   -0.617   45.762   45.760  
  -195.0    -1.763   -0.631   45.759   45.759  
  -189.0    -1.735   -0.586   45.757   45.759  
  -183.1    -1.648   -0.584   45.760   45.760  
  -177.1    -1.528   -0.559   45.763   45.760  
  -171.1    -1.407   -0.521   45.761   45.759  
  -165.1    -1.369   -0.491   45.762   45.759  
  -159.1    -1.266   -0.469   45.754   45.762  
  -153.2    -1.212   -0.433   45.756   45.760  
  -147.2    -1.110   -0.446   45.757   45.762  
  -141.2    -1.089   -0.417   45.759   45.763  
  -135.2    -1.039   -0.378   45.759   45.762  
  -129.2    -0.949   -0.367   45.758   45.763  
  -123.3    -0.876   -0.373   45.758   45.763  
  -117.3    -0.823   -0.352   45.759   45.764  
  -111.3    -0.819   -0.334   45.759   45.762  
  -105.3    -0.765   -0.311   45.760   45.761  
   -99.3    -0.704   -0.259   45.763   45.762  
   -93.4    -0.659   -0.258   45.759   45.761  
   -87.4    -0.637   -0.242   45.757   45.756  
   -81.4    -0.593   -0.213   45.758   45.757  
   -75.4    -0.492   -0.182   45.759   45.758  
   -69.4    -0.437   -0.180   45.759   45.761  
   -63.5    -0.411   -0.171   45.759   45.758  
   -57.5    -0.337   -0.153   45.759   45.759  
   -51.5    -0.302   -0.159   45.756   45.762  
   -45.5    -0.270   -0.144   45.757   45.760  
   -39.5    -0.240   -0.121   45.755   45.759  
   -33.6    -0.204   -0.099   45.757   45.761  
   -27.6    -0.161   -0.083   45.762   45.762  
   -21.6    -0.129   -0.064   45.761   45.762  
   -15.6    -0.084   -0.050   45.764   45.764  
    -9.6    -0.049   -0.031   45.766   45.767  
    -3.7    -0.007   -0.012   45.759   45.759  
     2.3     0.027    0.007   45.739   45.743  
     8.3     0.059    0.028   45.742   45.742  
    14.3     0.101    0.051   45.743   45.742  
    20.3     0.154    0.081   45.743   45.742  
    26.2     0.189    0.103   45.744   45.743  
    32.2     0.225    0.110   45.745   45.742  
    38.2     0.289    0.138   45.746   45.741  
    44.2     0.308    0.161   45.746   45.739  
    50.2     0.382    0.185   45.744   45.742  
    56.1     0.442    0.179   45.745   45.745  
    62.1     0.503    0.207   45.742   45.744  
    68.1     0.544    0.257   45.741   45.744  
    74.1     0.638    0.275   45.740   45.744  
    80.1     0.697    0.283   45.738   45.744  
    86.0     0.744    0.334   45.736   45.741  
    92.0     0.781    0.384   45.737   45.743  
    98.0     0.835    0.482   45.741   45.744  
   104.0     0.751    0.455   45.740   45.743  
   110.0     0.796    0.505   45.742   45.745  
   115.9     0.996    0.565   45.744   45.745  
   121.9     1.151    0.633   45.747   45.743  
   127.9     1.218    0.706   45.747   45.742  
   133.9     1.220    0.739   45.748   45.741  
   139.9     1.204    0.827   45.747   45.742  
   145.8     1.486    0.886   45.743   45.744  
   151.8     1.554    0.902   45.746   45.747  
   157.8     1.749    0.928   45.748   45.747  
   163.8     1.838    0.951   45.750   45.748  
   169.8     2.027    1.045   45.746   45.739  
   175.7     1.946    1.075   45.744   45.742  
   181.7     2.038    1.152   45.746   45.744  
   187.7     2.284    1.209   45.746   45.744  
   193.7     2.460    1.314   45.747   45.744  
   199.7     2.463    1.523   45.750   45.742  
   205.6     2.415    1.554   45.751   45.743  
   211.6     2.183    1.742   45.749   45.742  
   217.6     2.797    1.872   45.747   45.745  
   223.6     2.963    1.966   45.746   45.749  
   229.6     3.071    2.039   45.751   45.749  
   235.5     3.359    2.079   45.749   45.747  
   241.5     3.178    2.160   45.750   45.748  
   247.5     3.116    2.269   45.751   45.749  
   253.5     3.475    2.254   45.747   45.745  
   259.5     3.593    2.354   45.747   45.750  
   265.4     3.726    2.516   45.748   45.751  
   271.4     3.925    2.699   45.748   45.751  
   277.4     4.483    2.919   45.745   45.747  
   283.4     4.736    3.334   45.751   45.749  
   289.4     5.074    3.277   45.752   45.749  
   295.3     5.108    3.357   45.750   45.749  
   301.3     5.207    3.724   45.749   45.752  
   307.3     5.124    3.740   45.748   45.753  
   313.3     5.549    3.696   45.746   45.750  
   319.3     5.882    3.740   45.746   45.750  
   325.2     6.016    3.690   45.748   45.753  
   331.2     5.998    4.151   45.750   45.753  
   337.2     5.776    4.383   45.746   45.749  
   343.2     6.245    4.673   45.745   45.749  
   349.2     6.199    4.947   45.743   45.750  
   355.1     6.427    4.980   45.749   45.750  
   361.1     6.561    5.129   45.745   45.749  
   367.1     6.844    5.074   45.747   45.749  
   373.1     7.014    5.289   45.748   45.749  
   379.1     7.049    5.507   45.749   45.746  
   385.0     7.077    5.914   45.747   45.747  
