Wed Jun 09 19:48:37 2021

21.06.02-03_009.top image. S01

Comment: Graphite ni

Us modulation: OFF; Frq(Hz): 1333; Amp(mV): 2.00;
Us base(mV): -50; It setpoint(nA): 0.5;
Us Start(mV): -500; End(mV): 498; Step(mV): 5.98;
Us sweep rate(mV/s): 30.0; sweep delay(ms): 10;
Ccomp modulation: OFF; Amp(mV): 0.0; Phase(deg): 0.0
Lock-in input params
      Sensitivity(mV): ; Phase(deg): ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
      HPF - freq(Hz):      0; slope(dB/oct): 0;
Lock-in output params
      Time constant(ms): 0; Gain: ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
dIt scale coeff(nA/V): 

Number of STS scans: 5
Position(A) relatively to left-bottom corner: (11.6,10.8)

   Usamp    It01F    It02F    It03F    It04F    It05F    It01B    It02B    It03B    It04B    It05B    dI01F    dI02F    dI03F    dI04F    dI05F    dI01B    dI02B    dI03B    dI04B    dI05B   

  -500.0    -8.094  -10.647  -10.699  -10.699  -10.699   -0.059   -0.349   -1.758   -0.356   -0.923   45.727   45.728   45.726   45.724   45.724   45.737   45.735   45.728   45.734   45.728  
  -494.0    -8.314  -10.150  -10.700  -10.700  -10.700   -0.054   -0.379   -1.732   -0.347   -0.922   45.732   45.731   45.727   45.724   45.724   45.739   45.735   45.728   45.734   45.729  
  -488.0    -8.364   -9.871  -10.700  -10.700  -10.700   -0.060   -0.371   -1.729   -0.344   -0.891   45.729   45.726   45.725   45.724   45.721   45.735   45.735   45.728   45.735   45.730  
  -482.1    -8.837  -10.548  -10.700  -10.700  -10.700   -0.083   -0.340   -1.878   -0.346   -0.919   45.730   45.731   45.728   45.727   45.724   45.734   45.736   45.728   45.735   45.729  
  -476.1    -7.936  -10.363  -10.700  -10.700  -10.700   -0.093   -0.335   -1.773   -0.336   -0.946   45.731   45.730   45.729   45.728   45.727   45.736   45.734   45.730   45.733   45.729  
  -470.1    -8.086  -10.262  -10.700  -10.700  -10.700   -0.130   -0.349   -1.759   -0.352   -0.969   45.730   45.729   45.727   45.724   45.726   45.734   45.733   45.730   45.734   45.728  
  -464.1    -7.548   -9.893  -10.700  -10.700  -10.700   -0.138   -0.285   -1.833   -0.375   -0.939   45.732   45.730   45.728   45.725   45.728   45.735   45.732   45.728   45.736   45.728  
  -458.1    -7.065  -10.674  -10.700  -10.697  -10.700   -0.130   -0.288   -1.864   -0.374   -0.847   45.732   45.730   45.728   45.725   45.730   45.736   45.734   45.731   45.736   45.729  
  -452.2    -6.733   -9.577  -10.700  -10.650  -10.699   -0.130   -0.362   -1.717   -0.416   -0.801   45.734   45.733   45.727   45.725   45.729   45.735   45.734   45.735   45.736   45.727  
  -446.2    -6.537   -9.362  -10.700  -10.654  -10.693   -0.111   -0.420   -1.614   -0.405   -0.786   45.733   45.732   45.726   45.728   45.726   45.734   45.732   45.731   45.733   45.726  
  -440.2    -6.259   -9.396  -10.700  -10.513  -10.667   -0.111   -0.313   -1.779   -0.383   -0.768   45.731   45.736   45.727   45.730   45.731   45.736   45.733   45.733   45.736   45.730  
  -434.2    -5.975   -8.662  -10.700  -10.368  -10.628   -0.104   -0.385   -1.699   -0.359   -0.770   45.731   45.736   45.729   45.731   45.732   45.736   45.733   45.735   45.738   45.730  
  -428.2    -5.786   -8.770  -10.700  -10.231  -10.569   -0.101   -0.371   -1.644   -0.353   -0.763   45.734   45.735   45.728   45.728   45.727   45.732   45.732   45.730   45.734   45.729  
  -422.3    -5.445   -7.790  -10.700   -9.835   -9.892   -0.099   -0.384   -1.835   -0.351   -0.784   45.728   45.731   45.725   45.729   45.728   45.729   45.732   45.727   45.730   45.727  
  -416.3    -5.269   -7.272  -10.700   -9.184   -9.557   -0.097   -0.289   -1.929   -0.332   -0.765   45.729   45.731   45.725   45.728   45.729   45.733   45.734   45.727   45.730   45.728  
  -410.3    -4.907   -6.819  -10.700   -9.317   -8.357   -0.099   -0.292   -1.596   -0.345   -0.695   45.731   45.734   45.726   45.731   45.731   45.737   45.735   45.730   45.734   45.731  
  -404.3    -4.658   -6.533  -10.700   -8.653   -8.226   -0.094   -0.286   -1.645   -0.325   -0.723   45.730   45.733   45.726   45.726   45.729   45.733   45.733   45.731   45.730   45.729  
  -398.3    -4.570   -5.362  -10.700   -8.629   -8.098   -0.092   -0.259   -1.606   -0.311   -0.700   45.731   45.734   45.727   45.728   45.729   45.733   45.733   45.731   45.730   45.729  
  -392.4    -4.401   -5.161  -10.700   -7.179   -7.898   -0.091   -0.285   -1.469   -0.315   -0.688   45.730   45.736   45.730   45.729   45.732   45.735   45.733   45.733   45.731   45.730  
  -386.4    -4.373   -4.649  -10.700   -6.815   -7.566   -0.086   -0.284   -1.354   -0.291   -0.639   45.731   45.734   45.728   45.728   45.733   45.734   45.732   45.730   45.731   45.727  
  -380.4    -3.959   -4.383  -10.700   -6.226   -7.176   -0.087   -0.241   -1.503   -0.265   -0.647   45.730   45.731   45.726   45.729   45.732   45.734   45.734   45.730   45.732   45.728  
  -374.4    -3.993   -4.358  -10.700   -6.907   -6.867   -0.085   -0.202   -1.453   -0.303   -0.590   45.731   45.732   45.729   45.730   45.731   45.734   45.736   45.733   45.731   45.730  
  -368.4    -3.751   -3.942  -10.700   -6.781   -7.122   -0.094   -0.227   -1.374   -0.307   -0.599   45.731   45.732   45.729   45.729   45.732   45.735   45.735   45.732   45.734   45.731  
  -362.5    -3.271   -3.956  -10.700   -6.463   -6.680   -0.095   -0.198   -1.379   -0.283   -0.583   45.729   45.730   45.728   45.728   45.732   45.737   45.734   45.733   45.734   45.728  
  -356.5    -3.228   -3.804  -10.700   -6.074   -6.726   -0.090   -0.171   -1.312   -0.286   -0.562   45.729   45.731   45.728   45.733   45.734   45.735   45.735   45.734   45.734   45.731  
  -350.5    -2.833   -3.460  -10.700   -5.922   -6.787   -0.093   -0.195   -1.308   -0.241   -0.562   45.731   45.734   45.730   45.730   45.732   45.734   45.736   45.733   45.736   45.733  
  -344.5    -2.650   -3.625  -10.700   -5.702   -6.617   -0.097   -0.187   -1.249   -0.272   -0.569   45.731   45.736   45.726   45.730   45.730   45.731   45.736   45.727   45.732   45.728  
  -338.5    -2.770   -3.470  -10.700   -5.051   -5.862   -0.084   -0.195   -1.241   -0.255   -0.529   45.729   45.732   45.724   45.723   45.726   45.729   45.729   45.726   45.730   45.725  
  -332.6    -2.748   -3.261  -10.700   -4.802   -5.852   -0.079   -0.188   -1.157   -0.241   -0.519   45.729   45.732   45.726   45.724   45.726   45.732   45.728   45.728   45.734   45.729  
  -326.6    -2.457   -3.299  -10.697   -4.505   -5.356   -0.077   -0.170   -1.073   -0.253   -0.518   45.729   45.734   45.730   45.724   45.727   45.733   45.729   45.731   45.733   45.732  
  -320.6    -2.246   -3.096  -10.695   -4.461   -4.999   -0.074   -0.166   -1.043   -0.235   -0.488   45.727   45.733   45.729   45.723   45.724   45.734   45.730   45.731   45.734   45.729  
  -314.6    -2.259   -2.991  -10.664   -4.057   -4.755   -0.069   -0.167   -0.928   -0.212   -0.478   45.729   45.735   45.733   45.724   45.726   45.734   45.732   45.733   45.734   45.729  
  -308.6    -2.088   -2.669  -10.444   -4.473   -4.567   -0.067   -0.150   -0.889   -0.219   -0.468   45.731   45.733   45.731   45.725   45.728   45.735   45.733   45.734   45.734   45.728  
  -302.7    -1.936   -2.710   -9.867   -3.977   -4.831   -0.060   -0.158   -0.836   -0.219   -0.454   45.731   45.733   45.734   45.724   45.726   45.734   45.731   45.732   45.736   45.729  
  -296.7    -1.921   -2.529   -9.636   -3.717   -4.711   -0.062   -0.158   -0.884   -0.204   -0.442   45.728   45.730   45.731   45.722   45.725   45.732   45.728   45.732   45.734   45.729  
  -290.7    -1.720   -2.398   -9.059   -3.548   -4.658   -0.063   -0.157   -0.840   -0.174   -0.398   45.732   45.733   45.733   45.726   45.727   45.734   45.729   45.734   45.736   45.731  
  -284.7    -1.608   -2.175   -8.123   -3.289   -4.163   -0.065   -0.161   -0.823   -0.178   -0.412   45.732   45.735   45.733   45.729   45.727   45.738   45.729   45.733   45.738   45.731  
  -278.7    -1.761   -2.177   -7.848   -3.003   -3.806   -0.055   -0.166   -0.796   -0.174   -0.431   45.730   45.735   45.731   45.731   45.726   45.743   45.732   45.735   45.738   45.730  
  -272.8    -1.604   -1.989   -7.725   -2.693   -3.485   -0.055   -0.185   -0.785   -0.164   -0.369   45.734   45.734   45.731   45.728   45.726   45.744   45.733   45.736   45.735   45.732  
  -266.8    -1.493   -1.840   -7.471   -2.534   -3.497   -0.055   -0.180   -0.711   -0.184   -0.361   45.732   45.733   45.734   45.728   45.728   45.740   45.737   45.736   45.737   45.735  
  -260.8    -1.488   -1.844   -7.320   -2.402   -3.322   -0.053   -0.153   -0.672   -0.175   -0.344   45.733   45.733   45.736   45.726   45.728   45.740   45.735   45.736   45.738   45.733  
  -254.8    -1.433   -1.630   -7.150   -2.456   -3.122   -0.050   -0.143   -0.644   -0.173   -0.324   45.728   45.730   45.728   45.721   45.725   45.738   45.729   45.730   45.733   45.726  
  -248.8    -1.363   -1.586   -5.961   -2.094   -2.971   -0.047   -0.141   -0.635   -0.167   -0.349   45.728   45.732   45.732   45.722   45.727   45.741   45.733   45.731   45.735   45.731  
  -242.9    -1.299   -1.409   -5.517   -1.853   -3.028   -0.046   -0.146   -0.643   -0.166   -0.322   45.728   45.735   45.735   45.723   45.727   45.739   45.732   45.730   45.735   45.733  
  -236.9    -1.113   -1.343   -5.840   -1.805   -2.869   -0.051   -0.129   -0.634   -0.155   -0.290   45.729   45.733   45.735   45.724   45.729   45.739   45.733   45.730   45.733   45.732  
  -230.9    -1.068   -1.279   -5.317   -1.622   -2.536   -0.050   -0.132   -0.595   -0.141   -0.295   45.729   45.731   45.738   45.727   45.726   45.740   45.734   45.730   45.735   45.730  
  -224.9    -1.018   -1.244   -4.817   -1.499   -2.778   -0.045   -0.146   -0.590   -0.096   -0.317   45.732   45.729   45.734   45.729   45.728   45.742   45.732   45.731   45.736   45.732  
  -218.9    -0.906   -1.159   -4.598   -1.679   -2.412   -0.044   -0.181   -0.644   -0.110   -0.315   45.735   45.728   45.733   45.727   45.728   45.743   45.737   45.732   45.738   45.734  
  -213.0    -0.825   -1.140   -3.880   -1.415   -2.153   -0.049   -0.169   -0.560   -0.103   -0.303   45.733   45.728   45.731   45.726   45.727   45.738   45.732   45.730   45.734   45.730  
  -207.0    -0.779   -1.105   -3.710   -1.399   -2.088   -0.053   -0.166   -0.507   -0.096   -0.307   45.733   45.730   45.729   45.728   45.728   45.740   45.733   45.735   45.736   45.733  
  -201.0    -0.743   -1.030   -3.494   -1.350   -2.122   -0.048   -0.174   -0.496   -0.107   -0.290   45.734   45.730   45.731   45.727   45.730   45.739   45.736   45.734   45.737   45.735  
  -195.0    -0.781   -0.952   -3.338   -1.288   -2.038   -0.043   -0.153   -0.500   -0.095   -0.265   45.734   45.731   45.732   45.726   45.729   45.737   45.732   45.735   45.737   45.733  
  -189.0    -0.742   -0.949   -3.355   -1.143   -1.808   -0.036   -0.154   -0.432   -0.081   -0.266   45.734   45.730   45.732   45.726   45.730   45.738   45.733   45.734   45.738   45.734  
  -183.1    -0.711   -0.890   -3.278   -1.154   -1.785   -0.036   -0.145   -0.427   -0.094   -0.234   45.737   45.733   45.733   45.728   45.731   45.741   45.732   45.736   45.737   45.734  
  -177.1    -0.664   -0.818   -3.097   -1.072   -1.919   -0.035   -0.139   -0.420   -0.069   -0.242   45.733   45.732   45.735   45.731   45.732   45.742   45.734   45.735   45.743   45.733  
  -171.1    -0.651   -0.742   -2.898   -0.977   -1.366   -0.035   -0.129   -0.465   -0.067   -0.214   45.726   45.730   45.730   45.729   45.727   45.737   45.730   45.727   45.739   45.731  
  -165.1    -0.564   -0.764   -2.342   -0.922   -1.447   -0.040   -0.127   -0.432   -0.068   -0.212   45.727   45.728   45.729   45.729   45.728   45.739   45.731   45.730   45.737   45.732  
  -159.1    -0.525   -0.701   -2.362   -0.871   -1.500   -0.055   -0.119   -0.412   -0.077   -0.203   45.727   45.729   45.728   45.727   45.728   45.740   45.730   45.731   45.737   45.731  
  -153.2    -0.480   -0.608   -2.204   -0.799   -1.629   -0.049   -0.127   -0.372   -0.064   -0.188   45.731   45.731   45.730   45.729   45.729   45.740   45.733   45.732   45.738   45.733  
  -147.2    -0.442   -0.569   -2.067   -0.830   -1.229   -0.048   -0.113   -0.368   -0.057   -0.187   45.732   45.728   45.733   45.727   45.726   45.738   45.730   45.734   45.739   45.732  
  -141.2    -0.395   -0.561   -2.041   -0.752   -1.137   -0.051   -0.104   -0.388   -0.054   -0.197   45.733   45.730   45.734   45.731   45.727   45.742   45.733   45.733   45.738   45.733  
  -135.2    -0.371   -0.513   -2.213   -0.657   -0.928   -0.050   -0.093   -0.311   -0.068   -0.188   45.734   45.732   45.732   45.732   45.728   45.741   45.736   45.733   45.740   45.733  
  -129.2    -0.353   -0.466   -2.061   -0.604   -0.801   -0.048   -0.088   -0.299   -0.069   -0.189   45.733   45.729   45.731   45.729   45.728   45.742   45.733   45.731   45.739   45.732  
  -123.3    -0.322   -0.415   -1.953   -0.535   -0.782   -0.047   -0.085   -0.291   -0.060   -0.185   45.733   45.733   45.733   45.731   45.730   45.743   45.738   45.734   45.739   45.732  
  -117.3    -0.321   -0.375   -1.821   -0.520   -0.668   -0.042   -0.072   -0.264   -0.052   -0.166   45.732   45.737   45.733   45.731   45.728   45.742   45.739   45.736   45.739   45.732  
  -111.3    -0.283   -0.362   -1.552   -0.450   -0.606   -0.039   -0.068   -0.254   -0.057   -0.151   45.734   45.735   45.734   45.735   45.730   45.745   45.740   45.735   45.739   45.732  
  -105.3    -0.253   -0.344   -1.520   -0.412   -0.567   -0.034   -0.062   -0.236   -0.062   -0.138   45.734   45.736   45.734   45.733   45.728   45.740   45.737   45.738   45.741   45.731  
