Wed Jun 09 18:45:24 2021

21.06.02-03_007.top image. S03

Comment: Graphite ni

Us modulation: OFF; Frq(Hz): 1333; Amp(mV): 2.00;
Us base(mV): -150; It setpoint(nA): 0.5;
Us Start(mV): -500; End(mV): 498; Step(mV): 5.98;
Us sweep rate(mV/s): 50.0; sweep delay(ms): 10;
Ccomp modulation: OFF; Amp(mV): 0.0; Phase(deg): 0.0
Lock-in input params
      Sensitivity(mV): ; Phase(deg): ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
      HPF - freq(Hz):      0; slope(dB/oct): 0;
Lock-in output params
      Time constant(ms): 0; Gain: ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
dIt scale coeff(nA/V): 

Number of STS scans: 5
Position(A) relatively to left-bottom corner: (11.8,10.9)

   Usamp    It01F    It02F    It03F    It04F    It05F    It01B    It02B    It03B    It04B    It05B    dI01F    dI02F    dI03F    dI04F    dI05F    dI01B    dI02B    dI03B    dI04B    dI05B   

  -500.0   -10.700   -7.832  -10.700  -10.700  -10.700   -0.270   -0.056   -0.251   -0.301   -0.436   45.747   45.750   45.754   45.755   45.745   45.752   45.768   45.757   45.751   45.744  
  -494.0   -10.700   -7.381  -10.700  -10.700  -10.700   -0.278   -0.057   -0.261   -0.252   -0.407   45.746   45.748   45.756   45.755   45.747   45.754   45.774   45.759   45.754   45.749  
  -488.0   -10.700   -7.378  -10.700  -10.700  -10.700   -0.247   -0.060   -0.268   -0.254   -0.411   45.745   45.748   45.758   45.750   45.747   45.751   45.769   45.754   45.752   45.748  
  -482.1   -10.700   -7.117  -10.700  -10.700  -10.700   -0.222   -0.060   -0.302   -0.236   -0.388   45.746   45.749   45.760   45.753   45.747   45.755   45.768   45.754   45.754   45.749  
  -476.1   -10.700   -6.892  -10.700  -10.700  -10.700   -0.233   -0.057   -0.291   -0.235   -0.379   45.749   45.753   45.762   45.756   45.745   45.757   45.771   45.757   45.755   45.753  
  -470.1   -10.700   -6.991  -10.700  -10.700  -10.700   -0.264   -0.054   -0.287   -0.228   -0.406   45.748   45.751   45.757   45.753   45.743   45.751   45.771   45.755   45.752   45.751  
  -464.1   -10.700   -6.841  -10.700  -10.700  -10.700   -0.230   -0.057   -0.285   -0.224   -0.359   45.749   45.752   45.757   45.756   45.745   45.752   45.770   45.755   45.753   45.750  
  -458.1   -10.700   -6.038  -10.700  -10.700  -10.700   -0.257   -0.056   -0.263   -0.206   -0.348   45.747   45.755   45.758   45.757   45.744   45.752   45.771   45.757   45.753   45.749  
  -452.2   -10.700   -5.951  -10.700  -10.700  -10.700   -0.312   -0.059   -0.229   -0.205   -0.334   45.750   45.757   45.759   45.762   45.748   45.755   45.774   45.757   45.755   45.748  
