;I_mag;V_gen;X;Y;R;theta;Points
0;2.0;5.0;7.78685e-06;7.21779e-07;7.81944e-06;5.31;12.0
1;2.0;5.0;7.78685e-06;7.2271e-07;7.81944e-06;5.31;12.0
2;2.0;5.0;7.78685e-06;7.2271e-07;7.81944e-06;5.31;12.0
3;2.0;5.0;7.78685e-06;7.23641e-07;7.81944e-06;5.31;12.0
4;2.0;5.0;7.78685e-06;7.23641e-07;7.81944e-06;5.31;12.0
5;2.0;5.0;7.78685e-06;7.23641e-07;7.81944e-06;5.31;12.0
6;2.0;5.0;7.78685e-06;7.23641e-07;7.81944e-06;5.31;12.0
7;2.0;5.0;7.78685e-06;7.23641e-07;7.81944e-06;5.31;12.0
8;2.0;5.0;7.78685e-06;7.2271e-07;7.81944e-06;5.31;12.0
9;2.0;5.0;7.78685e-06;7.2271e-07;7.81944e-06;5.31;12.0
10;2.0;5.0;7.78685e-06;7.2271e-07;7.81944e-06;5.31;12.0
11;2.0;5.0;7.78685e-06;7.2271e-07;7.81944e-06;5.31;12.0
12;2.0;5.0;7.78685e-06;7.2271e-07;7.81944e-06;5.31;12.0
13;2.0;5.0;7.78685e-06;7.2271e-07;7.81944e-06;5.31;12.0
14;2.0;5.0;7.78591e-06;7.21779e-07;7.81944e-06;5.304;12.0
15;2.0;5.0;7.78591e-06;7.21779e-07;7.81944e-06;5.304;12.0
16;2.0;5.0;7.78591e-06;7.21779e-07;7.81944e-06;5.298;12.0
17;2.0;5.0;7.78591e-06;7.21779e-07;7.81944e-06;5.298;12.0
18;2.0;5.0;7.78591e-06;7.20847e-07;7.81944e-06;5.292;12.0
19;2.0;5.0;7.78591e-06;7.20847e-07;7.81944e-06;5.292;12.0
20;2.0;5.0;7.78498e-06;7.19916e-07;7.81851e-06;5.286;12.0
21;2.0;5.0;7.78498e-06;7.19916e-07;7.81851e-06;5.286;12.0
22;2.0;5.0;7.78498e-06;7.19916e-07;7.81851e-06;5.286;12.0
23;2.0;5.0;7.78498e-06;7.18985e-07;7.81851e-06;5.28;12.0
24;2.0;5.0;7.78498e-06;7.18985e-07;7.81851e-06;5.274;12.0
25;2.0;5.0;7.78498e-06;7.18053e-07;7.81851e-06;5.274;12.0
26;2.0;5.0;7.78498e-06;7.17122e-07;7.81851e-06;5.268;12.0
27;2.0;5.0;7.78498e-06;7.17122e-07;7.81851e-06;5.262;12.0
28;2.0;5.0;7.78498e-06;7.17122e-07;7.81758e-06;5.262;12.0
29;2.0;5.0;7.78498e-06;7.17122e-07;7.81758e-06;5.262;12.0
30;2.0;5.0;7.78498e-06;7.16191e-07;7.81758e-06;5.262;12.0
31;2.0;5.0;7.78498e-06;7.16191e-07;7.81758e-06;5.262;12.0
32;2.0;5.0;7.78498e-06;7.16191e-07;7.81758e-06;5.256;12.0
33;2.0;5.0;7.78591e-06;7.15259e-07;7.81851e-06;5.256;12.0
34;2.0;5.0;7.78591e-06;7.15259e-07;7.81851e-06;5.256;12.0
35;2.0;5.0;7.78591e-06;7.15259e-07;7.81851e-06;5.256;12.0
