;I_mag;V_gen;X;Y;R;theta;Points
0;-3.0;5.0;7.88464e-06;6.42616e-07;7.91071e-06;4.662;12.0
1;-3.0;5.0;7.88464e-06;6.40754e-07;7.91071e-06;4.65;12.0
2;-3.0;5.0;7.88464e-06;6.40754e-07;7.91071e-06;4.65;12.0
3;-3.0;5.0;7.88464e-06;6.40754e-07;7.91071e-06;4.65;12.0
4;-3.0;5.0;7.88464e-06;6.40754e-07;7.91071e-06;4.65;12.0
5;-3.0;5.0;7.88464e-06;6.38891e-07;7.91071e-06;4.638;12.0
6;-3.0;5.0;7.88464e-06;6.38891e-07;7.91071e-06;4.638;12.0
7;-3.0;5.0;7.88464e-06;6.38891e-07;7.91071e-06;4.626;12.0
8;-3.0;5.0;7.88464e-06;6.37028e-07;7.90885e-06;4.626;12.0
9;-3.0;5.0;7.88464e-06;6.37028e-07;7.91071e-06;4.626;12.0
10;-3.0;5.0;7.88464e-06;6.37028e-07;7.91071e-06;4.626;12.0
11;-3.0;5.0;7.88464e-06;6.37028e-07;7.91071e-06;4.614;12.0
12;-3.0;5.0;7.88464e-06;6.35166e-07;7.91071e-06;4.614;12.0
13;-3.0;5.0;7.88464e-06;6.35166e-07;7.91071e-06;4.614;12.0
14;-3.0;5.0;7.8865e-06;6.35166e-07;7.91257e-06;4.602;12.0
15;-3.0;5.0;7.8865e-06;6.33303e-07;7.91257e-06;4.602;12.0
16;-3.0;5.0;7.8865e-06;6.33303e-07;7.91257e-06;4.602;12.0
17;-3.0;5.0;7.8865e-06;6.33303e-07;7.91257e-06;4.602;12.0
18;-3.0;5.0;7.8865e-06;6.33303e-07;7.91444e-06;4.59;12.0
19;-3.0;5.0;7.88836e-06;6.33303e-07;7.91444e-06;4.59;12.0
20;-3.0;5.0;7.88836e-06;6.33303e-07;7.91444e-06;4.59;12.0
21;-3.0;5.0;7.88836e-06;6.33303e-07;7.91444e-06;4.578;12.0
22;-3.0;5.0;7.89022e-06;6.3144e-07;7.9163e-06;4.578;12.0
23;-3.0;5.0;7.89022e-06;6.3144e-07;7.9163e-06;4.578;12.0
24;-3.0;5.0;7.89022e-06;6.29578e-07;7.9163e-06;4.566;12.0
25;-3.0;5.0;7.89022e-06;6.29578e-07;7.9163e-06;4.566;12.0
26;-3.0;5.0;7.89209e-06;6.29578e-07;7.9163e-06;4.566;12.0
27;-3.0;5.0;7.89209e-06;6.29578e-07;7.9163e-06;4.566;12.0
28;-3.0;5.0;7.89395e-06;6.27715e-07;7.91816e-06;4.548;12.0
29;-3.0;5.0;7.89395e-06;6.27715e-07;7.91816e-06;4.548;12.0
30;-3.0;5.0;7.89395e-06;6.27715e-07;7.91816e-06;4.548;12.0
31;-3.0;5.0;7.89395e-06;6.27715e-07;7.92003e-06;4.536;12.0
32;-3.0;5.0;7.89581e-06;6.25852e-07;7.92003e-06;4.536;12.0
33;-3.0;5.0;7.89581e-06;6.25852e-07;7.92003e-06;4.536;12.0
34;-3.0;5.0;7.89767e-06;6.25852e-07;7.92189e-06;4.536;12.0
35;-3.0;5.0;7.89767e-06;6.25852e-07;7.92189e-06;4.536;12.0
