;I_mag;V_gen;X;Y;R;theta;Points
0;0.0;5.0;7.56609e-06;6.18402e-07;7.59217e-06;4.68;12.0
1;0.0;5.0;7.56796e-06;6.18402e-07;7.59217e-06;4.68;12.0
2;0.0;5.0;7.56796e-06;6.18402e-07;7.59403e-06;4.68;12.0
3;0.0;5.0;7.56796e-06;6.18402e-07;7.5959e-06;4.68;12.0
4;0.0;5.0;7.56982e-06;6.18402e-07;7.5959e-06;4.68;12.0
5;0.0;5.0;7.57168e-06;6.18402e-07;7.59776e-06;4.68;12.0
6;0.0;5.0;7.57168e-06;6.18402e-07;7.59776e-06;4.68;12.0
7;0.0;5.0;7.57354e-06;6.18402e-07;7.59962e-06;4.68;12.0
8;0.0;5.0;7.57541e-06;6.18402e-07;7.59962e-06;4.68;12.0
9;0.0;5.0;7.57541e-06;6.18402e-07;7.60148e-06;4.674;12.0
10;0.0;5.0;7.57727e-06;6.18402e-07;7.60148e-06;4.674;12.0
11;0.0;5.0;7.57913e-06;6.18402e-07;7.60335e-06;4.674;12.0
12;0.0;5.0;7.58099e-06;6.18402e-07;7.60521e-06;4.674;12.0
13;0.0;5.0;7.58099e-06;6.18402e-07;7.60707e-06;4.674;12.0
14;0.0;5.0;7.58286e-06;6.18402e-07;7.60893e-06;4.674;12.0
15;0.0;5.0;7.58286e-06;6.18402e-07;7.60893e-06;4.674;12.0
16;0.0;5.0;7.58472e-06;6.18402e-07;7.6108e-06;4.674;12.0
17;0.0;5.0;7.58658e-06;6.18402e-07;7.61266e-06;4.668;12.0
18;0.0;5.0;7.58658e-06;6.18402e-07;7.61452e-06;4.668;12.0
19;0.0;5.0;7.58845e-06;6.18402e-07;7.61452e-06;4.668;12.0
20;0.0;5.0;7.59031e-06;6.18402e-07;7.61639e-06;4.668;12.0
21;0.0;5.0;7.59217e-06;6.18402e-07;7.61639e-06;4.668;12.0
22;0.0;5.0;7.59403e-06;6.18402e-07;7.61825e-06;4.668;12.0
23;0.0;5.0;7.5959e-06;6.18402e-07;7.62011e-06;4.668;12.0
24;0.0;5.0;7.5959e-06;6.18402e-07;7.62197e-06;4.662;12.0
25;0.0;5.0;7.59776e-06;6.18402e-07;7.62197e-06;4.662;12.0
26;0.0;5.0;7.59962e-06;6.18402e-07;7.62384e-06;4.662;12.0
27;0.0;5.0;7.59962e-06;6.18402e-07;7.6257e-06;4.662;12.0
28;0.0;5.0;7.59962e-06;6.18402e-07;7.6257e-06;4.662;12.0
29;0.0;5.0;7.60148e-06;6.18402e-07;7.62756e-06;4.662;12.0
30;0.0;5.0;7.60148e-06;6.18402e-07;7.62945e-06;4.662;12.0
31;0.0;5.0;7.60335e-06;6.18402e-07;7.62945e-06;4.674;12.0
32;0.0;5.0;7.60335e-06;6.20264e-07;7.63132e-06;4.674;12.0
33;0.0;5.0;7.60521e-06;6.20264e-07;7.63132e-06;4.674;12.0
34;0.0;5.0;7.60521e-06;6.20264e-07;7.63132e-06;4.668;12.0
35;0.0;5.0;7.60707e-06;6.20264e-07;7.63132e-06;4.668;12.0
