;I_mag;V_gen;X;Y;R;theta;Points
0;9.0;5.0;2.81708e-05;4.13509e-07;2.81745e-05;0.852;12.0
1;9.0;5.0;2.81708e-05;4.13509e-07;2.81745e-05;0.852;12.0
2;9.0;5.0;2.81708e-05;4.13509e-07;2.81782e-05;0.852;12.0
3;9.0;5.0;2.81745e-05;4.13509e-07;2.81782e-05;0.846;12.0
4;9.0;5.0;2.81745e-05;4.13509e-07;2.81782e-05;0.846;12.0
5;9.0;5.0;2.81745e-05;4.13509e-07;2.81782e-05;0.846;12.0
6;9.0;5.0;2.81782e-05;4.13509e-07;2.81819e-05;0.846;12.0
7;9.0;5.0;2.81782e-05;4.13509e-07;2.81819e-05;0.846;12.0
8;9.0;5.0;2.81782e-05;4.13509e-07;2.81819e-05;0.846;12.0
9;9.0;5.0;2.81782e-05;4.13509e-07;2.81819e-05;0.846;12.0
10;9.0;5.0;2.81782e-05;4.13509e-07;2.81819e-05;0.846;12.0
11;9.0;5.0;2.81819e-05;4.13509e-07;2.81819e-05;0.846;12.0
12;9.0;5.0;2.81819e-05;4.13509e-07;2.81819e-05;0.846;12.0
13;9.0;5.0;2.81819e-05;4.13509e-07;2.81819e-05;0.846;12.0
14;9.0;5.0;2.81819e-05;4.13509e-07;2.81819e-05;0.846;12.0
15;9.0;5.0;2.81819e-05;4.13509e-07;2.81857e-05;0.846;12.0
16;9.0;5.0;2.81819e-05;4.13509e-07;2.81857e-05;0.846;12.0
17;9.0;5.0;2.81819e-05;4.13509e-07;2.81857e-05;0.846;12.0
18;9.0;5.0;2.81819e-05;4.13509e-07;2.81857e-05;0.846;12.0
19;9.0;5.0;2.81819e-05;4.13509e-07;2.81894e-05;0.846;12.0
20;9.0;5.0;2.81857e-05;4.13509e-07;2.81894e-05;0.846;12.0
21;9.0;5.0;2.81857e-05;4.13509e-07;2.81894e-05;0.846;12.0
22;9.0;5.0;2.81857e-05;4.13509e-07;2.81894e-05;0.846;12.0
23;9.0;5.0;2.81857e-05;4.13509e-07;2.81894e-05;0.846;12.0
24;9.0;5.0;2.81857e-05;4.13509e-07;2.81931e-05;0.846;12.0
25;9.0;5.0;2.81894e-05;4.09784e-07;2.81931e-05;0.84;12.0
26;9.0;5.0;2.81894e-05;4.09784e-07;2.81931e-05;0.84;12.0
27;9.0;5.0;2.81894e-05;4.09784e-07;2.81968e-05;0.84;12.0
28;9.0;5.0;2.81931e-05;4.09784e-07;2.82006e-05;0.834;12.0
29;9.0;5.0;2.81968e-05;4.09784e-07;2.82043e-05;0.834;12.0
30;9.0;5.0;2.82006e-05;4.09784e-07;2.8208e-05;0.828;12.0
31;9.0;5.0;2.8208e-05;4.06058e-07;2.82155e-05;0.828;12.0
32;9.0;5.0;2.82155e-05;4.02333e-07;2.82155e-05;0.822;12.0
33;9.0;5.0;2.82192e-05;3.98608e-07;2.82266e-05;0.81;12.0
34;9.0;5.0;2.82266e-05;3.98608e-07;2.82341e-05;0.804;12.0
35;9.0;5.0;2.82341e-05;3.91157e-07;2.82453e-05;0.798;12.0
36;9.0;5.0;2.82453e-05;3.87432e-07;2.8249e-05;0.792;12.0
37;9.0;5.0;2.82527e-05;3.83707e-07;2.82639e-05;0.786;12.0
38;9.0;5.0;2.82639e-05;3.79981e-07;2.82751e-05;0.768;12.0
39;9.0;5.0;2.82788e-05;3.79981e-07;2.82862e-05;0.762;12.0
40;9.0;5.0;2.829e-05;3.72531e-07;2.82974e-05;0.756;12.0
41;9.0;5.0;2.83011e-05;3.68806e-07;2.83086e-05;0.744;12.0
42;9.0;5.0;2.83123e-05;3.6508e-07;2.83198e-05;0.738;12.0
43;9.0;5.0;2.83235e-05;3.5763e-07;2.83347e-05;0.726;12.0
44;9.0;5.0;2.83384e-05;3.53904e-07;2.83459e-05;0.714;12.0
45;9.0;5.0;2.83496e-05;3.50179e-07;2.8357e-05;0.708;12.0
46;9.0;5.0;2.83608e-05;3.46454e-07;2.83719e-05;0.702;12.0
47;9.0;5.0;2.83719e-05;3.42729e-07;2.83831e-05;0.696;12.0
48;9.0;5.0;2.83868e-05;3.39003e-07;2.8398e-05;0.678;12.0
49;9.0;5.0;2.84017e-05;3.35278e-07;2.84092e-05;0.672;12.0
50;9.0;5.0;2.84129e-05;3.27827e-07;2.84204e-05;0.666;12.0
51;9.0;5.0;2.84241e-05;3.24102e-07;2.84353e-05;0.66;12.0
52;9.0;5.0;2.84353e-05;3.20377e-07;2.84427e-05;0.654;12.0
53;9.0;5.0;2.84464e-05;3.16651e-07;2.84539e-05;0.642;12.0
54;9.0;5.0;2.84576e-05;3.16651e-07;2.84688e-05;0.63;12.0
55;9.0;5.0;2.84688e-05;3.12926e-07;2.84762e-05;0.624;12.0
56;9.0;5.0;2.84762e-05;3.09201e-07;2.84837e-05;0.624;12.0
57;9.0;5.0;2.84874e-05;3.05476e-07;2.84911e-05;0.618;12.0
58;9.0;5.0;2.84986e-05;3.0175e-07;2.84986e-05;0.612;12.0
59;9.0;5.0;2.8506e-05;2.98025e-07;2.85098e-05;0.606;12.0
60;9.0;5.0;2.85135e-05;2.98025e-07;2.85172e-05;0.6;12.0
61;9.0;5.0;2.85209e-05;2.943e-07;2.85247e-05;0.594;12.0
62;9.0;5.0;2.85284e-05;2.943e-07;2.85321e-05;0.588;12.0
63;9.0;5.0;2.85321e-05;2.90574e-07;2.85358e-05;0.588;12.0
64;9.0;5.0;2.85396e-05;2.90574e-07;2.85433e-05;0.588;12.0
65;9.0;5.0;2.8547e-05;2.86849e-07;2.8547e-05;0.582;12.0
66;9.0;5.0;2.85507e-05;2.86849e-07;2.85545e-05;0.582;12.0
67;9.0;5.0;2.85582e-05;2.86849e-07;2.85582e-05;0.582;12.0
68;9.0;5.0;2.85619e-05;2.86849e-07;2.85619e-05;0.582;12.0
69;9.0;5.0;2.85619e-05;2.86849e-07;2.85619e-05;0.582;12.0
70;9.0;5.0;2.85656e-05;2.86849e-07;2.85656e-05;0.582;12.0
71;9.0;5.0;2.85694e-05;2.86849e-07;2.85694e-05;0.582;12.0
72;9.0;5.0;2.85694e-05;2.86849e-07;2.85731e-05;0.582;12.0
73;9.0;5.0;2.85731e-05;2.86849e-07;2.85731e-05;0.582;12.0
74;9.0;5.0;2.85731e-05;2.86849e-07;2.85768e-05;0.582;12.0
75;9.0;5.0;2.85768e-05;2.90574e-07;2.85768e-05;0.588;12.0
76;9.0;5.0;2.85768e-05;2.90574e-07;2.85768e-05;0.588;12.0
77;9.0;5.0;2.85768e-05;2.90574e-07;2.85768e-05;0.588;12.0
78;9.0;5.0;2.85768e-05;2.90574e-07;2.85768e-05;0.588;12.0
79;9.0;5.0;2.85768e-05;2.943e-07;2.85768e-05;0.594;12.0
80;9.0;5.0;2.85768e-05;2.943e-07;2.85731e-05;0.594;12.0
81;9.0;5.0;2.85731e-05;2.943e-07;2.85731e-05;0.594;12.0
82;9.0;5.0;2.85731e-05;2.943e-07;2.85731e-05;0.6;12.0
83;9.0;5.0;2.85731e-05;2.98025e-07;2.85694e-05;0.6;12.0
84;9.0;5.0;2.85694e-05;2.98025e-07;2.85694e-05;0.6;12.0
85;9.0;5.0;2.85694e-05;3.0175e-07;2.85656e-05;0.612;12.0
86;9.0;5.0;2.85656e-05;3.0175e-07;2.85656e-05;0.612;12.0
87;9.0;5.0;2.85619e-05;3.0175e-07;2.85619e-05;0.618;12.0
88;9.0;5.0;2.85619e-05;3.05476e-07;2.85619e-05;0.618;12.0
89;9.0;5.0;2.85619e-05;3.05476e-07;2.85619e-05;0.624;12.0
