;I_mag;V_gen;X;Y;R;theta;Points
0;-16.0;5.0;3.72494e-05;5.73698e-07;3.72531e-05;0.888;12.0
1;-16.0;5.0;3.72494e-05;5.73698e-07;3.72531e-05;0.888;12.0
2;-16.0;5.0;3.72457e-05;5.73698e-07;3.72494e-05;0.888;12.0
3;-16.0;5.0;3.72457e-05;5.73698e-07;3.72494e-05;0.888;12.0
4;-16.0;5.0;3.72457e-05;5.73698e-07;3.72494e-05;0.888;12.0
5;-16.0;5.0;3.7242e-05;5.73698e-07;3.72457e-05;0.888;12.0
6;-16.0;5.0;3.7242e-05;5.73698e-07;3.72457e-05;0.888;12.0
7;-16.0;5.0;3.72382e-05;5.73698e-07;3.7242e-05;0.888;12.0
8;-16.0;5.0;3.72382e-05;5.77424e-07;3.7242e-05;0.894;12.0
9;-16.0;5.0;3.72382e-05;5.77424e-07;3.7242e-05;0.894;12.0
10;-16.0;5.0;3.72382e-05;5.77424e-07;3.72382e-05;0.894;12.0
11;-16.0;5.0;3.72382e-05;5.77424e-07;3.72382e-05;0.894;12.0
12;-16.0;5.0;3.72382e-05;5.77424e-07;3.72382e-05;0.894;12.0
13;-16.0;5.0;3.72382e-05;5.77424e-07;3.72382e-05;0.894;12.0
14;-16.0;5.0;3.72382e-05;5.77424e-07;3.72382e-05;0.9;12.0
15;-16.0;5.0;3.72345e-05;5.81149e-07;3.72382e-05;0.9;12.0
16;-16.0;5.0;3.72345e-05;5.81149e-07;3.72382e-05;0.9;12.0
17;-16.0;5.0;3.72345e-05;5.81149e-07;3.72382e-05;0.9;12.0
18;-16.0;5.0;3.72345e-05;5.84874e-07;3.72382e-05;0.906;12.0
19;-16.0;5.0;3.72345e-05;5.84874e-07;3.72382e-05;0.906;12.0
20;-16.0;5.0;3.72345e-05;5.84874e-07;3.72382e-05;0.906;12.0
21;-16.0;5.0;3.72345e-05;5.84874e-07;3.72382e-05;0.906;12.0
22;-16.0;5.0;3.72345e-05;5.886e-07;3.72382e-05;0.906;12.0
23;-16.0;5.0;3.72345e-05;5.886e-07;3.72382e-05;0.906;12.0
24;-16.0;5.0;3.72345e-05;5.886e-07;3.72382e-05;0.906;12.0
25;-16.0;5.0;3.72382e-05;5.886e-07;3.72382e-05;0.912;12.0
26;-16.0;5.0;3.72382e-05;5.92325e-07;3.72382e-05;0.912;12.0
27;-16.0;5.0;3.72382e-05;5.92325e-07;3.72382e-05;0.912;12.0
28;-16.0;5.0;3.72382e-05;5.92325e-07;3.72382e-05;0.918;12.0
29;-16.0;5.0;3.72382e-05;5.9605e-07;3.72382e-05;0.918;12.0
30;-16.0;5.0;3.72382e-05;5.9605e-07;3.72382e-05;0.918;12.0
31;-16.0;5.0;3.72382e-05;5.9605e-07;3.7242e-05;0.924;12.0
32;-16.0;5.0;3.72382e-05;5.99775e-07;3.7242e-05;0.924;12.0
33;-16.0;5.0;3.72382e-05;5.99775e-07;3.7242e-05;0.924;12.0
34;-16.0;5.0;3.72382e-05;5.99775e-07;3.7242e-05;0.93;12.0
35;-16.0;5.0;3.72382e-05;5.99775e-07;3.72457e-05;0.93;12.0
36;-16.0;5.0;3.7242e-05;5.99775e-07;3.72457e-05;0.93;12.0
37;-16.0;5.0;3.7242e-05;5.99775e-07;3.72457e-05;0.93;12.0
38;-16.0;5.0;3.7242e-05;5.99775e-07;3.72457e-05;0.93;12.0
39;-16.0;5.0;3.7242e-05;5.99775e-07;3.72494e-05;0.93;12.0
40;-16.0;5.0;3.72457e-05;5.99775e-07;3.72494e-05;0.93;12.0
41;-16.0;5.0;3.72457e-05;5.99775e-07;3.72494e-05;0.93;12.0
42;-16.0;5.0;3.72457e-05;5.99775e-07;3.72494e-05;0.93;12.0
43;-16.0;5.0;3.72494e-05;5.99775e-07;3.72531e-05;0.936;12.0
44;-16.0;5.0;3.72494e-05;6.03501e-07;3.72531e-05;0.936;12.0
45;-16.0;5.0;3.72494e-05;6.03501e-07;3.72531e-05;0.936;12.0
46;-16.0;5.0;3.72494e-05;6.03501e-07;3.72531e-05;0.936;12.0
47;-16.0;5.0;3.72494e-05;6.03501e-07;3.72569e-05;0.936;12.0
48;-16.0;5.0;3.72531e-05;6.03501e-07;3.72569e-05;0.93;12.0
49;-16.0;5.0;3.72531e-05;5.99775e-07;3.72569e-05;0.93;12.0
50;-16.0;5.0;3.72531e-05;5.99775e-07;3.72606e-05;0.93;12.0
51;-16.0;5.0;3.72569e-05;5.99775e-07;3.72606e-05;0.93;12.0
52;-16.0;5.0;3.72569e-05;5.99775e-07;3.72606e-05;0.93;12.0
53;-16.0;5.0;3.72569e-05;5.99775e-07;3.72606e-05;0.93;12.0
54;-16.0;5.0;3.72569e-05;5.99775e-07;3.72606e-05;0.93;12.0
55;-16.0;5.0;3.72569e-05;5.99775e-07;3.72643e-05;0.93;12.0
56;-16.0;5.0;3.72606e-05;5.99775e-07;3.72643e-05;0.93;12.0
57;-16.0;5.0;3.72606e-05;5.99775e-07;3.72643e-05;0.924;12.0
58;-16.0;5.0;3.72606e-05;5.99775e-07;3.72643e-05;0.924;12.0
59;-16.0;5.0;3.72606e-05;5.99775e-07;3.72643e-05;0.924;12.0
60;-16.0;5.0;3.72643e-05;5.99775e-07;3.7268e-05;0.924;12.0
61;-16.0;5.0;3.72643e-05;5.99775e-07;3.7268e-05;0.924;12.0
62;-16.0;5.0;3.72643e-05;5.99775e-07;3.7268e-05;0.924;12.0
63;-16.0;5.0;3.72643e-05;5.99775e-07;3.7268e-05;0.924;12.0
64;-16.0;5.0;3.72643e-05;5.99775e-07;3.7268e-05;0.924;12.0
65;-16.0;5.0;3.72643e-05;5.9605e-07;3.7268e-05;0.918;12.0
66;-16.0;5.0;3.72643e-05;5.9605e-07;3.7268e-05;0.918;12.0
67;-16.0;5.0;3.72643e-05;5.9605e-07;3.7268e-05;0.918;12.0
68;-16.0;5.0;3.72643e-05;5.9605e-07;3.7268e-05;0.918;12.0
69;-16.0;5.0;3.7268e-05;5.92325e-07;3.72718e-05;0.912;12.0
