;I_mag;V_gen;X;Y;R;theta;Points
0;0.0;5.0;3.08754e-05;4.58213e-07;3.08792e-05;0.852;12.0
1;0.0;5.0;3.08754e-05;4.58213e-07;3.08792e-05;0.852;12.0
2;0.0;5.0;3.08754e-05;4.58213e-07;3.08792e-05;0.852;12.0
3;0.0;5.0;3.08754e-05;4.58213e-07;3.08792e-05;0.852;12.0
4;0.0;5.0;3.08754e-05;4.58213e-07;3.08792e-05;0.852;12.0
5;0.0;5.0;3.08754e-05;4.58213e-07;3.08792e-05;0.852;12.0
6;0.0;5.0;3.08754e-05;4.58213e-07;3.08792e-05;0.852;12.0
7;0.0;5.0;3.08754e-05;4.58213e-07;3.08792e-05;0.852;12.0
8;0.0;5.0;3.08754e-05;4.58213e-07;3.08792e-05;0.852;12.0
9;0.0;5.0;3.08754e-05;4.58213e-07;3.08792e-05;0.852;12.0
10;0.0;5.0;3.08754e-05;4.54487e-07;3.08792e-05;0.846;12.0
11;0.0;5.0;3.08754e-05;4.54487e-07;3.08792e-05;0.846;12.0
12;0.0;5.0;3.08754e-05;4.54487e-07;3.08792e-05;0.846;12.0
13;0.0;5.0;3.08754e-05;4.54487e-07;3.08792e-05;0.846;12.0
14;0.0;5.0;3.08754e-05;4.54487e-07;3.08792e-05;0.846;12.0
15;0.0;5.0;3.08754e-05;4.54487e-07;3.08792e-05;0.846;12.0
16;0.0;5.0;3.08754e-05;4.54487e-07;3.08792e-05;0.846;12.0
17;0.0;5.0;3.08754e-05;4.54487e-07;3.08829e-05;0.846;12.0
18;0.0;5.0;3.08792e-05;4.54487e-07;3.08829e-05;0.846;12.0
19;0.0;5.0;3.08792e-05;4.54487e-07;3.08829e-05;0.846;12.0
20;0.0;5.0;3.08792e-05;4.58213e-07;3.08829e-05;0.852;12.0
21;0.0;5.0;3.08792e-05;4.58213e-07;3.08829e-05;0.852;12.0
22;0.0;5.0;3.08792e-05;4.58213e-07;3.08829e-05;0.852;12.0
23;0.0;5.0;3.08792e-05;4.58213e-07;3.08829e-05;0.852;12.0
24;0.0;5.0;3.08792e-05;4.58213e-07;3.08829e-05;0.852;12.0
25;0.0;5.0;3.08792e-05;4.58213e-07;3.08829e-05;0.852;12.0
26;0.0;5.0;3.08792e-05;4.61938e-07;3.08829e-05;0.858;12.0
27;0.0;5.0;3.08792e-05;4.61938e-07;3.08829e-05;0.858;12.0
28;0.0;5.0;3.08792e-05;4.61938e-07;3.08829e-05;0.858;12.0
29;0.0;5.0;3.08792e-05;4.61938e-07;3.08829e-05;0.858;12.0
30;0.0;5.0;3.08792e-05;4.61938e-07;3.08829e-05;0.858;12.0
31;0.0;5.0;3.08792e-05;4.61938e-07;3.08829e-05;0.858;12.0
32;0.0;5.0;3.08792e-05;4.65663e-07;3.08829e-05;0.864;12.0
33;0.0;5.0;3.08792e-05;4.65663e-07;3.08829e-05;0.864;12.0
34;0.0;5.0;3.08792e-05;4.65663e-07;3.08829e-05;0.864;12.0
35;0.0;5.0;3.08792e-05;4.69388e-07;3.08829e-05;0.87;12.0
36;0.0;5.0;3.08792e-05;4.69388e-07;3.08829e-05;0.87;12.0
37;0.0;5.0;3.08792e-05;4.69388e-07;3.08829e-05;0.87;12.0
38;0.0;5.0;3.08792e-05;4.73114e-07;3.08829e-05;0.876;12.0
39;0.0;5.0;3.08792e-05;4.73114e-07;3.08829e-05;0.876;12.0
40;0.0;5.0;3.08792e-05;4.73114e-07;3.08829e-05;0.876;12.0
41;0.0;5.0;3.08792e-05;4.73114e-07;3.08829e-05;0.888;12.0
42;0.0;5.0;3.08792e-05;4.73114e-07;3.08829e-05;0.888;12.0
43;0.0;5.0;3.08792e-05;4.73114e-07;3.08829e-05;0.888;12.0
44;0.0;5.0;3.08792e-05;4.76841e-07;3.08829e-05;0.894;12.0
45;0.0;5.0;3.08792e-05;4.76841e-07;3.08829e-05;0.894;12.0
46;0.0;5.0;3.08792e-05;4.76841e-07;3.08829e-05;0.894;12.0
47;0.0;5.0;3.08754e-05;4.76841e-07;3.08792e-05;0.9;12.0
48;0.0;5.0;3.08754e-05;4.80566e-07;3.08792e-05;0.9;12.0
49;0.0;5.0;3.08754e-05;4.80566e-07;3.08792e-05;0.9;12.0
50;0.0;5.0;3.08754e-05;4.80566e-07;3.08792e-05;0.9;12.0
51;0.0;5.0;3.08754e-05;4.80566e-07;3.08792e-05;0.9;12.0
52;0.0;5.0;3.08754e-05;4.84291e-07;3.08792e-05;0.906;12.0
53;0.0;5.0;3.08754e-05;4.84291e-07;3.08792e-05;0.906;12.0
54;0.0;5.0;3.08754e-05;4.84291e-07;3.08754e-05;0.906;12.0
55;0.0;5.0;3.08754e-05;4.84291e-07;3.08754e-05;0.906;12.0
56;0.0;5.0;3.08754e-05;4.84291e-07;3.08754e-05;0.912;12.0
57;0.0;5.0;3.08754e-05;4.88017e-07;3.08754e-05;0.912;12.0
58;0.0;5.0;3.08754e-05;4.88017e-07;3.08754e-05;0.912;12.0
59;0.0;5.0;3.08717e-05;4.88017e-07;3.08754e-05;0.912;12.0
60;0.0;5.0;3.08717e-05;4.88017e-07;3.08754e-05;0.912;12.0
61;0.0;5.0;3.08717e-05;4.88017e-07;3.08754e-05;0.912;12.0
62;0.0;5.0;3.08717e-05;4.88017e-07;3.08754e-05;0.912;12.0
63;0.0;5.0;3.08717e-05;4.88017e-07;3.08754e-05;0.912;12.0
64;0.0;5.0;3.0868e-05;4.88017e-07;3.08717e-05;0.912;12.0
65;0.0;5.0;3.0868e-05;4.88017e-07;3.08717e-05;0.912;12.0
66;0.0;5.0;3.0868e-05;4.88017e-07;3.08717e-05;0.912;12.0
67;0.0;5.0;3.0868e-05;4.88017e-07;3.08717e-05;0.912;12.0
68;0.0;5.0;3.0868e-05;4.88017e-07;3.08717e-05;0.912;12.0
69;0.0;5.0;3.0868e-05;4.88017e-07;3.0868e-05;0.912;12.0
70;0.0;5.0;3.08643e-05;4.88017e-07;3.0868e-05;0.912;12.0
71;0.0;5.0;3.08643e-05;4.88017e-07;3.0868e-05;0.912;12.0
72;0.0;5.0;3.08643e-05;4.88017e-07;3.0868e-05;0.912;12.0
73;0.0;5.0;3.08643e-05;4.88017e-07;3.0868e-05;0.912;12.0
74;0.0;5.0;3.08643e-05;4.88017e-07;3.0868e-05;0.912;12.0
75;0.0;5.0;3.08643e-05;4.88017e-07;3.0868e-05;0.912;12.0
76;0.0;5.0;3.08643e-05;4.88017e-07;3.0868e-05;0.912;12.0
77;0.0;5.0;3.08643e-05;4.88017e-07;3.0868e-05;0.912;12.0
78;0.0;5.0;3.08643e-05;4.88017e-07;3.0868e-05;0.912;12.0
79;0.0;5.0;3.08643e-05;4.84291e-07;3.0868e-05;0.906;12.0
80;0.0;5.0;3.08643e-05;4.84291e-07;3.0868e-05;0.906;12.0
81;0.0;5.0;3.08643e-05;4.84291e-07;3.0868e-05;0.906;12.0
82;0.0;5.0;3.08643e-05;4.84291e-07;3.0868e-05;0.906;12.0
83;0.0;5.0;3.08643e-05;4.84291e-07;3.0868e-05;0.906;12.0
84;0.0;5.0;3.08643e-05;4.84291e-07;3.0868e-05;0.906;12.0
85;0.0;5.0;3.08643e-05;4.84291e-07;3.08717e-05;0.906;12.0
86;0.0;5.0;3.0868e-05;4.84291e-07;3.08717e-05;0.9;12.0
87;0.0;5.0;3.0868e-05;4.80566e-07;3.08717e-05;0.9;12.0
88;0.0;5.0;3.0868e-05;4.80566e-07;3.08717e-05;0.9;12.0
89;0.0;5.0;3.0868e-05;4.80566e-07;3.08717e-05;0.9;12.0
