;I_mag;V_gen;X;Y;R;theta;Points
0;10.0;5.0;1.75816e-05;6.12814e-07;1.75909e-05;1.998;23.0
1;10.0;5.0;1.75816e-05;6.12814e-07;1.75909e-05;2.004;23.0
2;10.0;5.0;1.75816e-05;6.14677e-07;1.75909e-05;2.004;23.0
3;10.0;5.0;1.75798e-05;6.14677e-07;1.75909e-05;2.004;23.0
4;10.0;5.0;1.75798e-05;6.14677e-07;1.75909e-05;2.004;23.0
5;10.0;5.0;1.75798e-05;6.14677e-07;1.75909e-05;2.01;23.0
6;10.0;5.0;1.75798e-05;6.16539e-07;1.75891e-05;2.01;23.0
7;10.0;5.0;1.75779e-05;6.16539e-07;1.75891e-05;2.01;23.0
8;10.0;5.0;1.75779e-05;6.16539e-07;1.75891e-05;2.01;23.0
9;10.0;5.0;1.75779e-05;6.16539e-07;1.75891e-05;2.01;23.0
10;10.0;5.0;1.75779e-05;6.16539e-07;1.75891e-05;2.01;23.0
11;10.0;5.0;1.75779e-05;6.16539e-07;1.75891e-05;2.01;23.0
12;10.0;5.0;1.75779e-05;6.16539e-07;1.75891e-05;2.01;23.0
13;10.0;5.0;1.75779e-05;6.16539e-07;1.75891e-05;2.01;23.0
14;10.0;5.0;1.75779e-05;6.16539e-07;1.75891e-05;2.016;23.0
15;10.0;5.0;1.7576e-05;6.16539e-07;1.75891e-05;2.016;23.0
16;10.0;5.0;1.7576e-05;6.16539e-07;1.75891e-05;2.016;23.0
17;10.0;5.0;1.7576e-05;6.16539e-07;1.75891e-05;2.016;23.0
18;10.0;5.0;1.7576e-05;6.16539e-07;1.75891e-05;2.016;23.0
19;10.0;5.0;1.7576e-05;6.16539e-07;1.75891e-05;2.016;23.0
20;10.0;5.0;1.7576e-05;6.16539e-07;1.75891e-05;2.016;23.0
21;10.0;5.0;1.7576e-05;6.16539e-07;1.75891e-05;2.022;23.0
22;10.0;5.0;1.7576e-05;6.18402e-07;1.75891e-05;2.022;23.0
23;10.0;5.0;1.7576e-05;6.18402e-07;1.75891e-05;2.022;23.0
24;10.0;5.0;1.75742e-05;6.18402e-07;1.75872e-05;2.022;23.0
25;10.0;5.0;1.75742e-05;6.18402e-07;1.75872e-05;2.022;23.0
26;10.0;5.0;1.75742e-05;6.18402e-07;1.75872e-05;2.022;23.0
27;10.0;5.0;1.75742e-05;6.18402e-07;1.75872e-05;2.022;23.0
28;10.0;5.0;1.75742e-05;6.18402e-07;1.75872e-05;2.022;23.0
29;10.0;5.0;1.75742e-05;6.18402e-07;1.75872e-05;2.022;23.0
30;10.0;5.0;1.75742e-05;6.18402e-07;1.75872e-05;2.022;23.0
31;10.0;5.0;1.75742e-05;6.18402e-07;1.75872e-05;2.022;23.0
32;10.0;5.0;1.75742e-05;6.18402e-07;1.75872e-05;2.022;23.0
33;10.0;5.0;1.75742e-05;6.18402e-07;1.75891e-05;2.022;23.0
34;10.0;5.0;1.75742e-05;6.18402e-07;1.75872e-05;2.022;23.0
35;10.0;5.0;1.75742e-05;6.18402e-07;1.75872e-05;2.022;23.0
36;10.0;5.0;1.7576e-05;6.18402e-07;1.75872e-05;2.022;23.0
