iter	MultiClass
0	2.3021
1	2.301596875
2	2.301092188
3	2.300589583
4	2.300100521
5	2.29957474
6	2.29906276
7	2.298561198
8	2.298044271
9	2.297547396
10	2.297069792
11	2.296573958
12	2.296077083
13	2.29558125
14	2.295089583
15	2.294599479
16	2.294113021
17	2.293619271
18	2.29312526
19	2.292629167
20	2.2921375
21	2.291648177
22	2.29115651
23	2.290660677
24	2.290171615
25	2.289679167
26	2.289167708
27	2.288673958
28	2.288164583
29	2.287676823
30	2.287191667
31	2.286702083
32	2.286214583
33	2.285733073
34	2.285242708
35	2.284757031
36	2.284264844
37	2.283759635
38	2.283254427
39	2.282757292
40	2.282265885
41	2.281790625
42	2.281309896
43	2.280824479
44	2.280338802
45	2.279854167
46	2.279364063
47	2.278880729
48	2.278397135
49	2.277911198
50	2.277426563
51	2.276934115
52	2.276447656
53	2.275966406
54	2.27548724
55	2.27498151
56	2.274501042
57	2.274022917
58	2.273534115
59	2.273036979
60	2.272559115
61	2.272075
62	2.27159349
63	2.271113542
64	2.270633073
65	2.270154167
66	2.269683333
67	2.26918776
68	2.26871224
69	2.268228906
70	2.267733073
71	2.267252865
72	2.266788021
73	2.266313021
74	2.265832292
75	2.265353906
76	2.264866406
77	2.264384896
78	2.263897917
79	2.263418229
80	2.262947917
81	2.26245625
82	2.26196875
83	2.261501562
84	2.261029948
85	2.260541927
86	2.260076042
87	2.259615365
88	2.259129688
89	2.25867526
90	2.258186198
91	2.257722396
92	2.257249479
93	2.256784375
94	2.256328125
95	2.255855208
96	2.255401302
97	2.254947135
98	2.254482813
99	2.254011979
100	2.253543229
101	2.253052344
102	2.252583073
103	2.25209375
104	2.251635938
105	2.251184115
106	2.250700521
107	2.25023724
108	2.249773958
109	2.249302344
110	2.248846615
111	2.248382813
112	2.24790625
113	2.247445833
114	2.24696901
115	2.24650026
116	2.246035937
117	2.245577344
118	2.245113281
119	2.24464375
120	2.244182813
121	2.243741406
122	2.24329349
123	2.242828646
124	2.242361719
125	2.241911979
126	2.241442969
127	2.240984635
128	2.240530729
129	2.240074479
130	2.239622917
131	2.239172656
132	2.238714844
133	2.238265625
134	2.237810417
135	2.237358854
136	2.236886458
137	2.236427865
138	2.23597526
139	2.235522396
140	2.235067969
141	2.234608854
142	2.234152604
143	2.233679688
144	2.233209896
145	2.232753125
146	2.232301042
147	2.231852865
148	2.231403646
149	2.230942448
150	2.230485677
151	2.230026823
152	2.229578646
153	2.22913099
154	2.228671094
155	2.228223958
156	2.227784635
157	2.22733099
158	2.226876823
159	2.226427604
160	2.225977083
161	2.22553151
162	2.225089062
163	2.2246375
164	2.22419349
165	2.223746094
166	2.223303385
167	2.222857552
168	2.222406771
169	2.221948698
170	2.221490885
171	2.221029427
172	2.2205875
173	2.220126302
174	2.21968151
175	2.219234115
176	2.21876901
177	2.218316406
178	2.217886458
179	2.217442448
180	2.216997917
181	2.216554948
182	2.216105208
