iter	Passed	Remaining
0	44	8181
1	86	7867
2	128	7711
3	170	7609
4	212	7556
5	252	7462
6	296	7457
7	1401	30648
8	1443	27899
9	1486	25713
10	1529	23908
11	1571	22387
12	1615	21119
13	1658	20017
14	1700	19047
15	1743	18199
16	1786	17443
17	1828	16765
18	1872	16159
19	1913	15594
20	1955	15084
21	1998	14627
22	2041	14199
23	2086	13822
24	2130	13462
25	2171	13113
26	2213	12788
27	2255	12485
28	2298	12208
29	2341	11939
30	3426	16802
31	3467	16360
32	3508	15946
33	3552	15567
34	3593	15197
35	3636	14848
36	3680	14521
37	3722	14202
38	3764	13899
39	3805	13603
40	3846	13320
41	3887	13051
42	3951	12865
43	3994	12620
44	4037	12380
45	4080	12153
46	4122	11930
47	4167	11720
48	4210	11514
49	4253	11314
50	4295	11116
51	4338	10930
52	4380	10743
53	5475	13079
54	5515	12836
55	5559	12607
56	5602	12385
57	5643	12163
58	5684	11948
59	5729	11744
60	5771	11543
61	5812	11343
62	5854	11151
63	5895	10962
64	5937	10778
65	5981	10603
66	6023	10428
67	6067	10261
68	6108	10093
69	6197	10004
70	6240	9844
71	6282	9684
72	6321	9524
73	6360	9369
74	6402	9219
75	7490	10545
76	7535	10373
77	7577	10200
78	7619	10030
79	7660	9863
80	7705	9702
81	7749	9545
82	7790	9385
83	7832	9230
84	7873	9078
85	7915	8927
86	7958	8781
87	8000	8636
88	8041	8493
89	8083	8353
90	8126	8215
91	8170	8082
92	8214	7949
93	8256	7817
94	8299	7687
95	8340	7558
96	8384	7434
97	8427	7309
98	8469	7185
99	9549	7925
100	9592	7788
101	9634	7651
102	9679	7518
103	9722	7385
104	9765	7254
105	9806	7123
106	9848	6995
107	9890	6868
108	9931	6742
109	9972	6618
110	10015	6496
111	10057	6375
112	10098	6255
113	10141	6138
114	10183	6021
115	10227	5907
116	10270	5793
117	10311	5679
118	10352	5567
119	10394	5457
120	10435	5347
121	10476	5238
122	11565	5641
123	11606	5522
124	11649	5405
125	11690	5288
126	11733	5173
127	11775	5059
128	11819	4947
129	11862	4836
130	11903	4725
131	11945	4615
132	11988	4506
133	12031	4399
134	12073	4292
135	12115	4186
136	12157	4082
137	12199	3978
138	12243	3875
139	12284	3773
140	12325	3671
141	12368	3571
142	12411	3471
143	12454	3372
144	12494	3274
145	12536	3176
146	13631	3338
147	13675	3234
148	13716	3129
149	13758	3026
150	13800	2924
151	13842	2823
152	13885	2722
153	13952	2627
154	13994	2528
155	14036	2429
156	14078	2331
157	14119	2234
158	14161	2137
159	14202	2041
160	14244	1946
161	14285	1851
162	14328	1758
163	14370	1664
164	14411	1572
165	14453	1480
166	14495	1388
167	14537	1297
168	14579	1207
169	15665	1197
170	15707	1102
171	15752	1007
172	15793	912
173	15837	819
174	15880	725
175	15922	633
176	15963	541
177	16007	449
178	16052	358
179	16094	268
180	16138	178
181	16180	88
182	16224	0
